max ch1,min ch1,mean ch1,mode ch1,max ch2,min ch2,mean ch2,mode ch2,max ch3,min ch3,mean ch3,mode ch3,max ch4,min ch4,mean ch4,mode ch4,label
2004.7,1571.4,1816.6,1799.8,1006.8,520.6,792.8,716.4,1867.8,1612.4,1760.4,1768.8,1945.2,1649.1,1825.7,1855.6,99.0
2004.7,1571.4,1812.0,1676.1,1006.8,514.1,782.2,685.1,1867.8,1612.4,1756.7,1692.3,1945.2,1649.1,1820.5,1855.6,99.0
2004.7,1571.4,1812.8,1676.1,1006.8,514.1,777.5,685.1,1867.8,1612.4,1756.0,1756.8,1945.2,1649.1,1821.8,1855.6,99.0
1977.4,1571.4,1806.6,1676.1,1006.8,514.1,772.3,685.1,1870.0,1612.4,1753.8,1756.8,1945.2,1649.1,1818.2,1721.4,99.0
1974.4,1571.4,1798.4,1676.1,929.0,514.1,756.6,685.1,1870.0,1612.4,1751.0,1756.8,1945.2,1681.4,1820.1,1721.4,99.0
1974.4,1571.4,1793.6,1676.1,929.0,514.1,755.7,685.1,1870.0,1612.4,1750.8,1696.5,1945.2,1681.4,1813.7,1721.4,99.0
1946.3,1603.2,1793.4,1773.3,929.0,493.8,750.2,677.9,1870.0,1604.1,1746.3,1696.5,1944.0,1654.9,1807.6,1721.4,99.0
2141.5,1603.2,1810.0,1773.3,991.3,493.8,768.6,740.3,1897.7,1604.1,1754.7,1750.7,1944.0,1654.9,1818.5,1777.9,99.0
2141.5,1603.2,1817.7,1925.0,1051.0,493.8,777.9,740.3,1952.7,1604.1,1763.5,1750.7,1944.0,1654.9,1823.9,1777.9,99.0
2141.5,1603.2,1820.7,1925.0,1051.0,493.8,784.1,740.3,1952.7,1604.1,1762.8,1750.7,1932.1,1654.9,1823.9,1774.6,99.0
2141.5,1603.2,1822.9,1776.9,1051.0,493.8,790.9,740.3,1952.7,1604.1,1762.5,1720.0,1932.1,1654.9,1820.6,1774.6,99.0
2141.5,1603.2,1825.1,1771.4,1051.0,493.8,795.8,740.3,1952.7,1604.1,1765.0,1720.0,1932.1,1654.9,1820.7,1774.6,99.0
2141.5,1642.7,1825.9,1720.8,1051.0,529.7,797.7,740.3,1952.7,1638.1,1764.6,1709.4,1932.1,1687.0,1820.5,1774.6,99.0
2051.4,1642.7,1813.3,1720.8,1051.0,525.1,770.4,767.8,1952.7,1638.1,1760.9,1772.7,1932.1,1687.0,1812.7,1802.1,99.0
1942.0,1642.7,1809.9,1720.8,904.2,525.1,763.7,765.7,1865.6,1638.1,1759.5,1758.8,1946.2,1687.0,1815.2,1802.1,99.0
1942.0,1642.7,1807.2,1720.8,896.2,525.1,754.2,760.2,1865.6,1638.1,1757.1,1772.7,1946.2,1687.0,1816.2,1767.7,99.0
1942.0,1642.7,1807.8,1720.8,896.2,525.1,750.8,760.2,1865.6,1638.1,1758.2,1772.7,1946.2,1687.0,1819.0,1767.5,99.0
1942.0,1642.7,1808.0,1720.8,896.2,525.1,749.4,762.1,1865.6,1638.1,1756.5,1694.8,1946.2,1687.0,1818.6,1843.8,99.0
1942.0,1694.0,1823.4,1837.9,896.2,525.1,772.5,762.1,1865.6,1661.6,1767.8,1694.8,1946.2,1691.4,1832.0,1843.8,99.0
1942.0,1729.5,1825.8,1831.2,896.2,697.2,798.1,807.0,1865.6,1687.3,1763.9,1762.7,1946.2,1742.0,1832.2,1843.8,99.0
1914.4,1712.2,1819.4,1831.2,875.0,649.3,792.2,807.0,1824.3,1687.3,1757.9,1762.7,1919.5,1721.3,1821.3,1843.8,99.0
1914.4,1712.2,1816.2,1838.9,875.0,641.9,782.1,807.0,1824.3,1681.9,1756.6,1762.7,1919.5,1721.3,1815.6,1843.8,99.0
1922.6,1712.2,1818.8,1838.9,887.8,641.9,782.6,736.3,1855.1,1681.9,1761.0,1716.7,1919.5,1721.3,1820.1,1835.5,99.0
1922.6,1712.2,1822.5,1838.9,915.2,641.9,788.2,736.3,1864.1,1681.9,1768.0,1716.7,1919.5,1721.3,1825.4,1835.5,99.0
1927.6,1712.2,1821.2,1768.4,915.2,641.9,794.1,736.3,1864.1,1681.9,1768.9,1716.7,1919.0,1721.3,1822.2,1835.5,99.0
1927.6,1712.2,1820.0,1784.4,915.2,641.9,799.2,736.3,1864.1,1681.9,1774.2,1769.0,1919.0,1721.3,1827.4,1835.5,99.0
1927.6,1716.1,1824.1,1758.4,915.2,641.9,807.0,766.2,1864.1,1681.9,1776.0,1754.7,1919.0,1721.5,1834.1,1835.5,99.0
1927.6,1721.9,1833.2,1862.6,915.2,691.7,824.9,766.2,1864.1,1696.9,1783.0,1762.9,1919.0,1762.9,1843.0,1835.5,99.0
1927.6,1721.9,1834.7,1807.7,915.2,737.3,828.2,783.3,1864.1,1696.9,1783.3,1762.9,1911.3,1762.9,1841.5,1872.8,99.0
1927.6,1721.9,1833.0,1798.9,914.1,737.3,823.4,783.3,1842.5,1696.9,1780.3,1762.9,1906.9,1762.9,1837.4,1828.2,99.0
1920.7,1721.9,1835.7,1798.9,914.1,737.3,818.0,763.5,1842.5,1696.9,1780.0,1758.3,1906.9,1762.9,1835.9,1820.5,99.0
1920.7,1752.8,1844.1,1804.7,907.6,745.1,818.5,763.5,1842.5,1712.8,1780.8,1779.4,1902.8,1775.2,1835.0,1820.5,99.0
1920.7,1754.7,1847.3,1854.0,886.4,745.1,820.5,763.5,1840.3,1734.2,1785.0,1778.1,1902.8,1775.2,1833.5,1825.3,99.0
1922.2,1780.9,1848.6,1800.0,886.4,746.2,821.9,820.7,1840.3,1744.4,1787.7,1766.7,1903.7,1775.2,1833.1,1825.3,99.0
1922.2,1780.9,1850.2,1866.7,886.4,746.2,824.0,820.7,1840.3,1744.4,1789.6,1779.4,1903.7,1775.2,1835.3,1825.3,99.0
1922.2,1780.4,1850.1,1853.0,889.4,746.2,825.7,820.7,1840.3,1744.4,1792.3,1774.9,1903.7,1775.2,1838.1,1843.0,99.0
1933.1,1768.1,1848.4,1853.0,889.4,765.8,827.6,826.9,1840.3,1754.0,1794.7,1786.2,1903.7,1785.4,1841.0,1844.3,99.0
1933.1,1768.1,1848.4,1824.2,889.4,744.9,826.8,784.0,1840.3,1746.5,1794.7,1764.3,1903.7,1782.9,1841.5,1850.0,99.0
1933.1,1768.1,1850.2,1847.7,889.4,744.9,825.8,784.0,1835.7,1746.5,1794.5,1780.6,1903.7,1782.9,1841.8,1850.0,99.0
1933.1,1768.1,1850.1,1847.7,889.4,734.8,823.2,825.9,1836.0,1746.5,1794.7,1780.6,1896.4,1782.9,1843.0,1850.0,99.0
1933.1,1724.2,1840.8,1847.7,889.4,662.2,811.0,826.9,1836.0,1700.1,1788.3,1780.6,1896.4,1756.6,1840.7,1852.2,99.0
1933.1,1659.5,1820.0,1740.6,875.8,551.9,777.3,826.9,1836.0,1626.0,1767.3,1792.9,1896.4,1659.7,1820.9,1852.2,99.0
1911.2,1659.5,1811.5,1738.4,873.8,551.9,754.6,620.3,1836.0,1626.0,1752.6,1653.2,1896.4,1659.7,1814.0,1847.2,99.0
1911.2,1659.5,1807.7,1738.4,873.8,551.9,751.1,620.3,1836.0,1626.0,1749.0,1780.9,1897.8,1659.7,1816.4,1847.2,99.0
1911.2,1659.5,1803.7,1738.4,890.7,551.9,753.7,620.3,1836.0,1626.0,1747.5,1780.9,1917.3,1659.7,1817.9,1847.2,99.0
1901.2,1659.5,1800.9,1738.4,905.3,551.9,759.1,620.3,1826.2,1626.0,1744.6,1759.0,1917.3,1659.7,1815.8,1852.2,99.0
1901.2,1659.5,1808.2,1738.4,905.3,551.9,772.9,620.3,1826.2,1626.0,1748.1,1759.0,1917.3,1659.7,1818.4,1844.7,99.0
1901.2,1706.0,1829.0,1738.4,905.3,587.7,802.5,771.5,1826.2,1652.9,1768.3,1759.0,1917.3,1697.9,1837.5,1843.2,2.0
1901.2,1764.9,1840.5,1823.7,905.3,692.4,823.7,771.5,1828.4,1688.5,1782.7,1759.0,1917.3,1798.4,1845.4,1843.2,2.0
1922.1,1782.8,1846.8,1823.7,905.3,753.1,831.1,799.8,1843.0,1688.5,1788.4,1769.8,1917.3,1798.4,1846.9,1843.2,2.0
1922.1,1778.5,1847.7,1803.6,905.3,753.1,830.4,789.0,1843.0,1688.5,1790.4,1793.7,1915.2,1799.8,1848.0,1843.2,2.0
1922.1,1770.8,1846.0,1870.0,892.5,753.1,827.6,818.6,1843.0,1727.7,1791.9,1793.7,1915.2,1801.1,1850.1,1871.9,2.0
1922.1,1770.8,1843.0,1843.2,892.5,753.1,824.1,818.6,1843.0,1751.0,1792.7,1787.7,1915.2,1801.1,1850.6,1848.4,2.0
1922.1,1770.8,1841.3,1834.8,892.5,758.7,828.2,818.6,1843.0,1685.8,1789.5,1801.8,1915.2,1801.1,1851.8,1843.8,2.0
1922.1,1770.8,1838.6,1834.8,924.2,767.3,832.7,818.6,1851.9,1685.8,1792.3,1785.9,1915.2,1803.2,1853.8,1843.8,2.0
1905.4,1770.8,1833.3,1834.8,924.2,767.3,832.5,818.6,1853.4,1685.8,1791.4,1801.8,1924.1,1803.2,1853.5,1843.8,2.0
1903.3,1743.4,1829.7,1824.8,924.2,716.1,829.5,818.6,1853.4,1685.8,1791.5,1807.0,1924.1,1791.1,1852.7,1843.8,2.0
1903.3,1652.4,1812.0,1707.3,924.2,542.6,798.1,617.1,1853.4,1634.7,1776.3,1733.4,1924.1,1705.7,1838.4,1855.6,2.0
1903.3,1652.4,1794.9,1707.3,924.2,542.6,772.6,617.1,1853.4,1634.7,1766.4,1726.4,1924.1,1705.7,1828.2,1817.7,2.0
1903.3,1652.4,1786.1,1833.5,924.2,542.6,768.6,617.1,1853.4,1634.7,1766.1,1726.4,1924.1,1705.7,1827.7,1719.8,2.0
1912.6,1652.4,1785.9,1707.3,937.0,542.6,774.9,617.1,1861.0,1634.7,1765.5,1726.4,1928.5,1705.7,1829.2,1719.8,2.0
1912.6,1652.4,1787.2,1707.3,937.0,542.6,779.5,617.1,1861.0,1634.7,1767.4,1726.4,1928.5,1705.7,1830.0,1719.8,99.0
1912.6,1652.4,1789.7,1707.3,937.0,542.6,786.6,617.1,1861.0,1634.7,1769.9,1726.4,1928.5,1705.7,1831.3,1719.8,99.0
1912.6,1670.4,1807.9,1708.5,937.0,582.6,822.4,853.1,1861.0,1680.7,1789.0,1781.9,1928.5,1728.5,1847.8,1875.7,99.0
1932.0,1713.8,1827.4,1778.6,937.0,694.2,851.9,853.1,1861.0,1734.2,1801.1,1812.8,1928.5,1790.7,1859.4,1875.7,99.0
1932.0,1746.6,1831.1,1778.6,937.0,801.0,860.3,853.1,1861.0,1760.5,1807.5,1812.8,1928.5,1815.8,1862.8,1875.7,99.0
1932.0,1746.6,1829.3,1790.0,928.8,797.6,855.5,820.0,1855.3,1767.4,1807.7,1812.8,1918.9,1815.8,1862.5,1875.7,1.0
1932.0,1746.6,1829.9,1790.0,917.7,797.6,852.5,820.0,1855.3,1767.4,1808.6,1812.8,1929.6,1815.8,1864.3,1875.7,1.0
1932.0,1746.6,1830.5,1790.0,914.4,797.6,850.0,820.0,1854.2,1767.4,1807.7,1809.0,1929.6,1817.9,1865.0,1881.1,1.0
1932.0,1746.6,1830.0,1820.8,900.0,796.4,846.7,820.0,1854.2,1767.4,1805.5,1818.1,1929.6,1817.9,1863.6,1881.1,1.0
1895.6,1749.6,1827.8,1820.8,900.0,796.4,846.3,878.6,1854.2,1732.4,1804.8,1781.6,1929.6,1825.3,1863.6,1881.1,1.0
1895.6,1772.8,1831.3,1820.8,900.0,796.4,845.3,862.0,1855.2,1732.4,1805.5,1781.6,1929.6,1824.9,1863.1,1837.4,1.0
1895.6,1772.8,1831.4,1807.6,897.2,796.4,845.6,862.0,1855.2,1732.4,1806.4,1788.1,1929.6,1820.8,1863.5,1837.4,1.0
1887.0,1772.8,1829.5,1807.6,904.1,796.4,846.0,862.0,1855.2,1732.4,1805.1,1788.1,1922.3,1820.8,1862.6,1837.4,1.0
1894.1,1772.8,1828.6,1807.6,909.3,796.4,848.1,811.9,1863.2,1732.4,1805.6,1807.1,1933.2,1820.8,1863.9,1837.4,1.0
1894.1,1770.9,1827.5,1807.6,911.0,797.9,850.7,816.4,1863.2,1732.4,1807.1,1809.0,1933.2,1820.8,1865.7,1837.4,1.0
1894.1,1770.9,1828.0,1791.2,911.0,794.3,853.0,816.4,1863.2,1773.1,1809.3,1823.0,1933.2,1820.8,1867.7,1870.0,1.0
1894.1,1764.4,1828.2,1805.3,911.0,769.0,851.7,819.4,1863.2,1771.7,1808.0,1797.9,1933.2,1820.8,1868.8,1870.0,1.0
