Frec max ch1,Frec max ch2,Frec max ch3,Frec max ch4,label
15.6,29.1,16.2,16.2,99.0
14.0,29.1,14.0,16.7,99.0
15.3,14.0,14.0,14.0,99.0
15.3,15.1,14.0,14.0,99.0
15.3,15.1,15.1,14.0,99.0
14.2,13.8,14.2,13.8,99.0
14.2,13.8,13.8,13.8,99.0
14.2,13.8,13.8,13.8,99.0
15.1,13.8,13.8,13.8,99.0
15.8,27.6,13.8,13.8,99.0
14.9,22.0,16.2,12.7,99.0
15.6,16.4,16.2,16.7,99.0
15.1,16.4,16.4,17.1,99.0
15.6,20.7,16.2,17.1,99.0
15.6,16.7,16.7,15.6,99.0
15.6,14.9,14.9,15.6,99.0
14.7,14.9,14.9,15.6,99.0
13.3,14.9,14.9,20.9,99.0
13.3,14.7,20.9,20.9,99.0
14.4,14.7,14.9,14.9,99.0
20.0,14.7,13.3,13.3,99.0
20.0,13.8,13.3,14.9,99.0
14.2,31.1,11.8,11.8,99.0
14.2,17.6,25.3,31.3,99.0
17.1,17.1,17.1,17.1,99.0
14.9,17.8,17.1,26.2,99.0
14.9,17.8,30.0,15.8,99.0
31.1,28.7,28.9,15.8,99.0
14.9,30.0,29.1,21.8,99.0
14.9,29.1,15.8,15.8,99.0
15.8,27.1,15.8,15.8,99.0
15.8,24.2,16.2,15.8,99.0
15.6,13.3,15.6,12.7,99.0
18.0,24.4,17.8,12.7,99.0
16.0,24.4,24.4,12.7,99.0
14.4,24.4,14.0,14.0,99.0
15.1,30.4,15.3,15.3,99.0
18.4,24.0,15.3,18.0,99.0
18.0,24.0,15.3,15.3,99.0
18.0,14.7,15.3,15.3,99.0
18.2,28.7,15.3,14.4,99.0
12.9,28.0,15.3,14.4,99.0
20.0,14.7,14.7,14.7,99.0
20.0,14.7,13.6,14.7,99.0
19.1,14.0,14.0,14.0,99.0
19.1,14.9,14.9,14.9,99.0
23.1,26.9,18.2,14.9,99.0
18.9,14.0,14.0,14.0,99.0
14.9,14.0,18.2,16.2,99.0
28.4,22.0,17.8,14.2,99.0
28.4,22.0,16.4,16.4,99.0
15.1,16.2,16.4,16.4,99.0
19.6,16.2,16.7,16.7,99.0
17.6,16.7,16.7,16.7,99.0
19.8,19.1,16.7,16.7,99.0
18.4,19.1,13.8,20.7,99.0
18.4,12.4,17.8,20.7,99.0
17.8,16.9,17.8,17.8,99.0
17.8,17.8,17.8,17.8,99.0
17.8,17.8,14.9,14.9,99.0
21.1,17.8,14.9,14.9,99.0
17.8,17.8,20.9,12.0,99.0
17.8,18.0,20.9,15.1,99.0
13.1,17.3,27.6,27.6,99.0
18.7,27.6,14.0,14.0,99.0
20.7,27.6,21.8,27.6,99.0
22.9,27.6,29.6,29.1,99.0
22.9,16.2,29.6,29.6,99.0
22.9,16.2,22.9,16.2,99.0
22.9,18.7,22.9,24.0,99.0
18.4,15.6,15.6,15.6,99.0
15.8,16.4,14.7,16.4,99.0
15.8,15.6,15.6,14.9,99.0
17.1,14.7,15.6,14.9,99.0
17.1,14.7,16.2,16.2,99.0
23.8,19.6,15.6,17.3,99.0
23.8,20.4,16.0,16.0,99.0
17.8,20.4,16.0,13.3,99.0
28.7,15.8,15.8,17.3,99.0
28.7,15.8,15.8,15.8,99.0
28.7,29.6,15.8,15.3,99.0
28.7,25.6,21.8,15.3,99.0
27.1,25.6,21.8,15.1,99.0
27.1,25.6,13.6,13.6,99.0
